id,imdb_id,genres,overview,poster_path,title,release_date,price
20,tt3498820,"Adventure,Action,Science Fiction","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt3498820.jpg,Captain America: Civil War,4/27/16,5
21,tt2293640,"Family,Animation,Adventure","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2293640.jpg,Minions,6/17/15,5
22,tt0451279,"Action,Adventure,Fantasy",An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0451279.jpg,Wonder Woman,5/30/17,5
23,tt4287320,"Drama,Thriller,Science Fiction","A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt4287320.jpg,The Circle,4/27/17,5
24,tt4738360,"Action,Adventure,Drama",Year 1206. Norway is ravaged by civil war. The King's illegitimate son is guarded in deep secret. A boy that half of the kingdom wants to kill and two men will protect to the death. A boy named Earl Håkonsson. Birkebeiners is the story of the escape that changed Norway's history forever.,https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt4738360.jpg,The Last King,2/12/16,5
25,tt2932536,"Drama,Thriller,Horror","Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2932536.jpg,47 Meters Down,6/15/17,5
26,tt3315342,"Action,Drama,Science Fiction","In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt3315342.jpg,Logan,2/28/17,5
27,tt2771200,"Family,Fantasy,Romance",A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2771200.jpg,Beauty and the Beast,3/16/17,5
28,tt1219827,"Action,Science Fiction,Thriller","In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt1219827.jpg,Ghost in the Shell,3/29/17,5
29,tt2316204,"Horror,Science Fiction,Thriller","Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world – which has its sole inhabitant the 'synthetic', David, survivor of the doomed Prometheus expedition.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2316204.jpg,Alien: Covenant,5/9/17,5
30,tt2091256,"Action,Animation,Comedy","Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2091256.jpg,Captain Underpants: The First Epic Movie,6/1/17,5
31,tt3344680,"Thriller,Action,Crime","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt3344680.jpg,Boyka: Undisputed IV,8/1/16,5
32,tt3890160,"Action,Crime","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt3890160.jpg,Baby Driver,6/28/17,5
33,tt4334266,"Thriller,Romance,Science Fiction","In a desert wasteland in Texas, a muscled cannibal breaks one important rule: don’t play with your food.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt4334266.jpg,The Bad Batch,6/23/17,5
34,tt3450958,"Drama,Science Fiction,War","Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt3450958.jpg,War for the Planet of the Apes,7/11/17,5
35,tt1536537,"Science Fiction,Thriller","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt1536537.jpg,What Happened to Monday,8/18/17,5
36,tt1648190,"Action,Western,Science Fiction","The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt1648190.jpg,The Dark Tower,8/3/17,5
37,tt5322012,"Fantasy,Horror,Thriller","A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt5322012.jpg,Wish Upon,7/7/17,5
